Name,Class,Range,RoF,Dmg.,Pen,Mag,Rld.,Special,Wt.,Rarity,Price 
Pistol,Pistol,30m,S/3/-,1d10+3 I,0,9,Full,,1.5kg,Plentiful,50
Holdout Pistol,Pistol,20m,S/-/-,1d10 I,0,5,Half,Compact,0.5kg,Scarce,20
Rifle,Basic,100m,S/3/10,1d10+3 I,0,30,Full,,3kg,Common,120
LMG,Heavy,100m,-/-/8,1d10+4 I,3,80,2 Full,,7kg,Uncommon,380
Sniper Rifle,Basic,600m,S/-/-,1d10+4 I,3,20,Full,"Accurate, Reliable, Felling(1)",5kg,Uncommon,340
Combat Shotgun,Basic,30m,S/3/-,1d10+4 I,0,18,Full,Scatter,3.5kg,Uncommon,190
Revolver,Pistol,30m,S/-/-,1d10+3 I,0,6,2 Full,Reliable,1.5kg,Common,40
Submachine Gun,Basic,30m,S/-/10,1d10+2 I,1,50,Full,Unreliable,2.5kg,Common,80
Needle Pistol,Pistol,30m,S/-/-,1d10 R,0,6,Full,"Accurate, Felling (1), Toxic (5)",1.5kg,Very Rare,200
Needle Rifle,Basic,180m,S/-/-,1d10 R,0,6,2 Full,"Accurate, Felling (1), Toxic (5)",2kg,Very Rare,350
Kusanagi BP-1,Pistol,30m,S/2/-,1d10+5 X,4,8,Full,Tearing,3.5kg,Very Rare,1000
Kusanagi BR-1,Basic,100m,S/3/-,1d10+5 X,4,24,Full,Tearing,7kg,Very Rare,2000
GUSF Bolt Pistol,Pistol,35m,S/2/-,1d10+5 X,4,8,Full,"Reliable, Tearing",3.5kg,Extremely Rare,3500
GUSF Bolt Rifle,Basic,120m,S/3/-,1d10+5 X,4,24,Full,"Reliable, Tearing",7kg,Extremely Rare,3000
Kusanagi BR-HEAVY,Heavy,150m,-/-/6,1d10+8 X,5,60,Full,Tearing,40kg,Very Rare,3000
Kusanagi BR-STORM,Basic,90m,S/2/4,1d10+5 X,4,60,Full,"Storm, Tearing",9kg,Extremely Rare,4000
